Id,Pattern presented,Description,Source 1,Source 2,Pub Year,Field of origin,Adotion factors,Cost structure,Customer channels,Customer relations,Customer segment,Key activities,Key partners,Key resources,Revenue stream,Take-back system,Value proposition,Total
Pattern048,Refurbishing and repair gap-exploiter,"The independent pioneers deploying this pattern increase the overall lifetime of conventional smartphones, as a difference to sustainable manufacturers who improve the lifespan of their own sustainable smartphones",P7,,2019,Sustainable business models,0,0,0,0,0,1,1,0,0,0,1,3
Pattern049,Refurbishing and Waste electrical and electronic equipment (WEEE) service provider,"The refurbishing and WEEE service provider (Table 9), represented in our sample by the AfB Group, spans the usage and end-of- life phases by offering device take-back and recycling or remar- keting services to business customers. Depending on the residual value ofthe smartphones, i.e. their resale potential, devices are either refurbished and then resold to consumers for prolonged usage, or safely recycled via partners.",P7,,2019,Sustainable business models,0,0,0,0,0,1,0,0,0,1,1,3
Pattern050,Waste electrical and electronic equipment (WEEE) service provider,"This pattern (Table 10), represented by binee, take-e-way, and
Closing the Loop, exhibits a breadth of designs with the goal to close resource loops, thereby diverting harmful waste from landfills or human exposure. the SBM offers business-to-business services to fund these activities",P7,,2019,Sustainable business models,0,0,0,0,0,1,0,0,0,1,1,3
Pattern126,Business object partially realized by application layer pattern,"A business object can be an aggregation or a com-
position of several business objects. In ArchiMate, this is modelled with the Aggregation or the Composition relationship, respectively. If a business object is partially realized by application layer, then it is not fully realized by the application layer and at least one of its aggregated or composite parts is realized by a data object.",P12,,2011,EA,0,0,1,0,0,0,0,2,0,0,0,3
Pattern128,Full concrete business object realization pattern Identification:,"A business object with full concrete support is real-
ized with at least one representation.",P12,,2011,EA,0,0,1,0,0,0,0,2,0,0,0,3
Pattern129,Partial concrete business object realization pattern,"If a business object is partially realized by applica-
tion layer, then it does not correspond to the full concrete business object realization pattern and at least one of its aggregated or com- posite parts is realized by a representation.",P12,,2011,EA,0,0,1,0,0,0,0,2,0,0,0,3
Pattern131,Fully realized business object pattern,"Business object is fully realized if it is realized by at
least one data object and/or if it has at least one concrete realization.",P12,,2011,EA,0,0,1,0,0,0,0,2,0,0,0,3
Pattern133,Partially realized business object pattern,"Business object is partially realized if it is not fully
realized and at least one of its aggregate or composite parts are realized.",P12,,2011,EA,0,0,1,0,0,0,0,2,0,0,0,3
Pattern134,Multiple business object realization pattern,"A business object may have more than one real-
ization, for example in different documents, different data bases, etc.",P12,,2011,EA,0,0,1,0,0,0,0,2,0,0,0,3
Pattern135,Single business object realization pattern,"The single business object realization pattern corresponds to business objects that have exactly one realiza- tion (either with a representation or a data object, but not both).",P12,,2011,EA,0,0,1,0,0,0,0,2,0,0,0,3
Pattern136,Multiple application layer business object realization pattern,"In comparison to the multiple business object realization pattern, this pattern refers only to realizations of business objects in the application layer. The pattern is a specialization of the multiple business object realization pattern and the business object realized by application layer pattern",P12,,2011,EA,0,0,1,0,0,0,0,2,0,0,0,3
Pattern194,?Differential Pricing?,Charging groups with higher payment thresholds higher prices to subsidize those groups who cannot afford to pay as much.,P21,,2018,Sustainable business models,1,0,0,0,0,1,0,0,0,0,1,3
Pattern201,?Hybrid model / Gap-exploiter model? ,"Employing a hybrid model that combines a durable product and short-lived consumables. That is, selling a long-lasting device, such as a copier, and remanufacturing its short-lived parts, such as toner cartridges, where the company obtains revenues mainly from the consumables. ",P21,,2018,Sustainable business models,0,0,0,0,0,1,0,0,1,0,1,3
Pattern208,?Product Recycling? ,"Recycling used products in such a way that their base materials are recovered and most of their embodied value (energy, labor, financial capital) is retained. This allows gaining access to resources and retaining the value contained in materials.",P21,,2018,Sustainable business models,0,0,0,0,0,1,0,0,0,1,1,3
Pattern209,?Remanufacturing / Next Life Sales? ,"Used products flow (back) to a manufacturer who repairs or replaces product components, incl. cosmetic updates (refurbishment), or disassembles products to reuse their components in ?as new? products (remanufacturing). This allows retaining the value contained in products and creating new revenue sources.",P21,,2018,Sustainable business models,0,0,0,0,0,1,0,0,0,1,1,3
Pattern210,?Repair? ,"Products remain the customer?s property, but broken or used products are repaired and/or maintained by a service provider. The same products are used again and longer, and the value they contain is retained. ",P21,,2018,Sustainable business models,0,0,0,0,0,1,0,0,1,0,1,3
Pattern211,?Reuse? ,"Used products flow (back) to a service provider and/or distributor, either directly or via an intermediary, and are then resold, maybe in slightly enhanced form. This allows retaining the value contained in products and creating new revenue sources.",P21,,2018,Sustainable business models,0,0,0,0,0,1,0,0,0,1,1,3
Pattern217,?Physical to Virtual?,"Introducing virtual customer relationships and channels, and only a few or no retail outposts. Making use of third-party platforms, e.g. ?shop-in-shop? models. This allows increasing resource efficiency and scalability of product distribution",P21,,2018,Sustainable business models,0,0,0,0,0,2,0,0,0,0,1,3
Pattern391,Remote usage and condition monitoring,Equip products with digital technologies that allow to detect errors preventatively and monitor usage,P20,P1,2017,Business model innovation,0,0,0,0,0,1,0,1,0,0,1,3
Pattern138,Multiple concrete business object realization pattern,"Business object that corresponds to the multiple
concrete business object realization pattern has more than one concrete realization. The pattern is a specialization of the multi- ple business object realization pattern and the concrete business object realization pattern.",P12,,2011,EA,0,0,1,0,0,0,0,2,0,0,0,3
Pattern139,Single concrete business object realization pattern,"Business object that corresponds to the single con-
crete business object realization pattern have exactly one concrete realization. The pattern is a specialization of the concrete business object realization pattern, however it is not a specialization of the single business object realization pattern.",P12,,2011,EA,0,0,1,0,0,0,0,2,0,0,0,3
Pattern168,WorkTogether,"Business pattern that unifies different communication and col-laboration functionalities. Internal or external users to the company can join groups of discussion, share knowledge, and work together on documents to achieve a common consensus.",P14,,2014,EA,1,0,0,1,0,0,0,1,0,0,0,3
Pattern170,KnowYourCustomer,Business pattern that describes the various ways of interacting and com- municating with the customer,P14,,2014,EA,0,0,1,1,0,0,0,1,0,0,0,3
Pattern004,recycling,"The major forms of value creation related to this pattern are based on down- and upcycling. The former converts used materials into materi- als of lower value (e.g., turning clothing into stuffing), and the latter achieves higher-quality materials and improved function- ality",P2,,2019,Circular Economy,0,0,0,0,0,0,1,0,1,0,0,2
Pattern006,organic feedstock,"Once all technically and economically feasible cascades are
used, organic residuals can be processed via biomass conver- sion (e.g., into liquid biofuels or other chemicals), composting (through bacteria and fungi), or anaerobic digestion, which is a ?process in which microorganisms break down organic materials, such as food scraps, manure, and sewage sludge, in the absence of oxygen?",P2,,2019,Circular Economy,0,0,0,0,0,0,1,0,1,0,0,2
Pattern117,Heterogeneous application support of a business process pattern,Business process is supported by several different application components.,P12,,2011,EA,0,0,1,0,0,0,0,1,0,0,0,2
Pattern118,Homogenous application support of a business process pattern,"A business process with homogenous application
support is supported by one application component. The applica- tion component may use application services provided by other application components; however this is transparent from the busi- ness process point of view.",P12,,2011,EA,0,0,1,0,0,0,0,1,0,0,0,2
Pattern120,Full non-redundant business process automation pattern,"Business process corresponds to the full non- redundant business process automation pattern if it is assigned to exactly one application component. It also corresponds to this pat- tern if it is not assigned to an application component, but every one of its behaviour subelements is assigned to exactly one application component.",P12,,2011,EA,0,0,1,0,0,0,0,1,0,0,0,2
Pattern056,Online reseller,Buy and resell physical products purely through the internet,P8,,2016,Business Model Innovation,0,0,0,0,0,0,0,2,0,0,0,2
Pattern059,Digital service provider,"Provide services completely through use of digital technologies, replacing a traditionally non-digital service",P8,,2016,Business Model Innovation,0,0,1,0,0,0,0,1,0,0,0,2
Pattern064,Sell services online,"Use the internet to sell services online, often allowing customers to request new services on-demand",P8,,2016,Business Model Innovation,0,0,1,0,0,0,0,1,0,0,0,2
Pattern123,Fully redundantly supported business process pattern Identification:,"Business process is fully redundantly supported (1)
if it corresponds to the full redundant business process automation pattern, (2) if it corresponds to the fully manually supported busi- ness process with multiple role-assignments pattern, (3) if it is fully supported and there exists at least on behaviour subelement that is assigned to a business role and an application component, or (4) if it is fully supported and there exists at least on behaviour subele- ment that is at the same time assigned to an application component and uses an application service.",P12,,2011,EA,0,0,1,0,0,0,0,1,0,0,0,2
Pattern199,?Microfinance?,Providing small loans and financial services to people without access to conventional banks. Microfinance is often provided through group-lending systems where group members act as guarantors for each other. ,P21,,2018,Sustainable business models,0,0,0,1,0,0,0,0,1,0,0,2
Pattern200,?Social Business Model: No dividends? ,Investors are entitled to get their money back. But profits are not distributed to them as these are reinvested to improve the product or service quality or to fund new social businesses. Social target groups benefit from improved product and service quality and/or lower prices.,P21,,2018,Sustainable business models,1,0,0,1,0,0,0,0,0,0,0,2
Pattern237,?Cooperative Ownership?,"The cooperative model follows a multi-stakeholder approach and is therefore owned and managed by cooperative members. Members can be retail consumers, users of services, employees, suppliers, or the local community, for example. ",P21,,2018,Sustainable business models,0,0,0,1,0,0,0,0,1,0,0,2
Pattern273,Bricks + clicks,"Integrate both an online (clicks) and an offline (bricks) presence to browse, order, and pick up products",P20,P1,2017,Business model innovation,0,0,1,0,0,0,0,1,0,0,0,2
Pattern306,Digital service provider,Produce and deliver a wide range of services online,P20,P1,2017,Business model innovation,0,0,1,0,0,0,0,1,0,0,0,2
Pattern320,E-retailer,"Assume control of inventory, set a non-negotiable price, and sell physical products online",P20,P1,2017,Business model innovation,0,0,1,0,0,0,0,1,0,0,0,2
Pattern321,E-shop,Build a web shop to sell products or services online,P20,P1,2017,Business model innovation,0,0,1,0,0,0,0,1,0,0,0,2
Pattern364,Object self service,Provide physical products with the ability to indepently place orders on the internet,P20,P1,2017,Business model innovation,0,0,1,0,0,0,0,1,0,0,0,2
Pattern416,Supplier support ,Use the internet to improve procurement and speed of delivery from suppliers,P20,,2017,Business model innovation,0,0,0,0,0,0,1,0,0,1,0,2
Pattern417,Supply chain management,Connect suppliers and distribution channels more closely,P20,P1,2017,Business model innovation,0,0,0,0,0,0,1,0,0,1,0,2
Pattern421,Trash-to-cash,Reuse already used products,P20,P1,2017,Business model innovation,1,0,0,0,0,0,0,0,1,0,0,2
Pattern429,Value chain integrator,"Coordinate activities across the value net by gathering, synthesizing, and distributing information",P20,P1,2017,Business model innovation,0,0,0,1,0,0,1,0,0,0,0,2
Pattern447,Internet platform*,Broker that operate exclusively in the internet,P1,,2018,Business model innovation,0,0,1,0,0,0,0,1,0,0,0,2
Pattern452,Produce intangibles*,Produce intangibles,P1,,2018,Business model innovation,0,0,1,0,0,0,0,1,0,0,0,2
Pattern039,Repairing as Additional Core Competence,None given,P6,,2015,Business model innovation,0,0,0,0,0,1,0,0,0,0,1,2
Pattern054,Manufacturer of connectivity devices for physical products,"Produce and sell a device that can be attached to a physical good, thereby connecting the good to the internet and serving as a platform for new services",P8,,2016,Business Model Innovation,0,0,0,0,0,1,0,0,0,0,1,2
Pattern154,ELECTRONIC FORM,How can a client submit relevant information online? Use an infrastructure for structured electronic forms,P13,,2009,EA,0,0,1,0,0,0,0,1,0,0,0,2
Pattern157,RULE ENGINE,"How to encode and execute business logic, while ensuring flexi- bility and adaptability? Usea rule engine and encode the logic in formalized business rules",P13,,2009,EA,1,0,0,0,0,0,0,1,0,0,0,2
Pattern164,CENTRAL ADMINISTRATION,"How to ensure consistent client data, for usage across different channels, applications, departments and organizations?Use a centralized client data administration",P13,,2009,EA,0,0,0,0,0,0,0,2,0,0,0,2
Pattern165,OPERATIONAL DATA STORE,"How to provide 24x7, secure access to data in non-24x7 back- officesystems?Use an operational data store that caches caches or copies back-office data for use by front-office applications",P13,,2009,EA,0,0,0,0,0,1,0,1,0,0,0,2
Pattern171,Financials,"Support pattern that provides all necessary services to manage the financial supplychain. It supports the financial performance analysis, the management of accounts, and assets.",P14,,2014,EA,0,1,0,0,0,0,0,1,0,0,0,2
Pattern172,InformationChest,"Support pattern that deals with the management of structured and semi-structured information. It describes how information can be acquired, transformed, delivered, stored, and archived.",P14,,2014,EA,0,0,0,0,0,0,0,2,0,0,0,2
Pattern202,?Maximise material productivity and energy efficiency? ,"Seeking to improve resource efficiency, reduce waste and emissions through product and process redesign, such as lean manufacturing, eco-efficiency (Factor 4 and Natural Capitalism), and cleaner production.",P21,,2018,Sustainable business models,0,0,0,0,0,1,0,0,0,0,1,2
Pattern203,?Product Design? ,"Offering responsible and sustainable products that last, increase users' eco-efficiency, and are reusable, repairable, and/or recyclable. Risks in production and use are reduced, e.g. toxicity. This allows replacing inefficient and harmful product designs. ",P21,,2018,Sustainable business models,0,0,0,0,0,1,0,0,0,0,1,2
Pattern204,?Substitute with renewables and natural processes?,"Substituting finite and non-recyclable production inputs with renewable resources and designing processes based on nature-inspired principles, e.g. closing material and energy cycles.",P21,,2018,Sustainable business models,0,0,0,0,0,1,0,0,0,0,1,2
Pattern218,?Produce on Demand?,"Producing a product only when consumer demand is verified, e.g. via online platforms that allow customers to place pre-orders, to vote on preferred products or even to design their own products. This allows reducing overproduction and inefficient use of resources.",P21,,2018,Sustainable business models,0,0,0,1,0,0,0,1,0,0,0,2
Pattern257,Add-on,Offer a basic product at a competitive price and charge for several extras,P20,P1,2017,Business model innovation,0,0,0,0,0,1,0,0,0,0,1,2
Pattern339,Incomparable products / services,Use deep R&D skills to develop and exploit proprietary technology to offer unique products that command high margins,P20,P1,2017,Business model innovation,0,0,0,0,0,1,0,0,0,0,1,2
Pattern433,R&D contractor,"This type of firm is fully engaged in technology development in essence, building prototypes. Furthermore, these R&D contractors provide consulting services in highly technical subjects. ",P1,,2018,Business model innovation,0,0,0,0,0,1,0,0,0,0,1,2
Pattern443,Develop intangibles*,Develop intangibles in an innovative way,P1,,2018,Business model innovation,0,0,0,0,0,1,0,0,0,0,1,2
Pattern453,Produce physical products*,Produce physical products,P1,,2018,Business model innovation,0,0,0,0,0,1,0,0,0,0,1,2
Pattern454,Production*,Produce a certain offering or produce it in a certain way,P1,,2018,Business model innovation,0,0,0,0,0,1,0,0,0,0,1,2
Pattern461,Value proposition development*,Develop your offering in a certain way,P1,,2018,Business model innovation,0,0,0,0,0,1,0,0,0,0,1,2
Pattern462,Value proposition*,"Offer certain products or services, or offer them in a certain way",P1,,2018,Business model innovation,0,0,0,0,0,1,0,0,0,0,1,2
Pattern002,Reuse and redistribution,"offering access to used prod- ucts, evaluating their market value, which might include slight enhancements or modifications, and creating a market place",P2,,2019,Circular Economy,0,0,0,0,0,0,0,0,1,0,0,1
Pattern026,Flexible original equipping and retrofitting,None given,P6,,2015,Business model innovation,1,0,0,0,0,0,0,0,0,0,0,1
Pattern066,Sensor-enabled service innovator,"Use sensor information to provide new or better services, such as a more accurate pricing",P8,,2016,Business Model Innovation,1,0,0,0,0,0,0,0,0,0,0,1
Pattern231,?Social Business Model: Empowerment?,Launching an enterprise owned and run by the social target group to generate market-based revenues and even make profits. The social target group benefits from income and business opportunities.,P21,,2018,Sustainable business models,0,0,0,1,0,0,0,0,0,0,0,1
Pattern348,Knowledge management,Transform and store a company's data into useful information and knowledge,P20,P1,2017,Business model innovation,1,0,0,0,0,0,0,0,0,0,0,1
Pattern141,PERSONALIZATION,"How to adapt the selection, delivery and realization of services to the client?s situation, needs and desires? Maintain a personal client profile with relevant personal data.",P13,,2009,EA,0,0,0,1,0,0,0,0,0,0,0,1
Pattern142,CHANNEL COMBINATION,"How to use different channels that offer complementary information or interaction? Use two or more channels synchronously, e.g. calling up a company while browsing through its website",P13,,2009,EA,0,0,1,0,0,0,0,0,0,0,0,1
Pattern143,CHANNEL STACK,"How to let a client use a channel without having access to that channel himself? Use one channel through another, e.g. a call centre agent who uses the website on behalf of the client",P13,,2009,EA,0,0,1,0,0,0,0,0,0,0,0,1
Pattern144,CO-BROWSING,"How to assist aclient in using the website?Let an employeeco- browse, i.e.,visitthe websitetogether with the client",P13,,2009,EA,0,0,1,0,0,0,0,0,0,0,0,1
Pattern017,Condition Monitoring systems for manufacturers and Operators of machines and plants,None given,P6,,2015,Business model innovation,0,0,0,0,0,0,0,1,0,0,0,1
Pattern018,Condition monitoring for own machines and plants,None given,P6,,2015,Business model innovation,0,0,0,0,0,0,0,1,0,0,0,1
Pattern019,Continuous Remote Monitoring as a Service,None given,P6,,2015,Business model innovation,0,0,0,0,0,0,0,1,0,0,0,1
Pattern020,Specialised Remote Monitoring without Maintenance and Guarantee,None given,P6,,2015,Business model innovation,0,0,0,0,0,0,0,1,0,0,0,1
Pattern024,Periodic Offl ine Monitoring and Maintenance as a Service,None given,P6,,2015,Business model innovation,0,0,0,0,0,0,0,1,0,0,0,1
Pattern025,Consulting and Training,None given,P6,,2015,Business model innovation,1,0,0,0,0,0,0,0,0,0,0,1
Pattern028,Graded Service Packages with Function Dependend Pricing,None given,P6,,2015,Business model innovation,0,0,0,0,0,0,0,0,1,0,0,1
Pattern032,Communication on the Internet and Trade Fairs,None given,P6,,2015,Business model innovation,0,0,1,0,0,0,0,0,0,0,0,1
Pattern033,Communication through New Media,None given,P6,,2015,Business model innovation,0,0,1,0,0,0,0,0,0,0,0,1
Pattern034,Development and Manufacturing of Measurement Systems,None given,P6,,2015,Business model innovation,0,1,0,0,0,0,0,0,0,0,0,1
Pattern042,IT Infrastructure for Remote Monitoring,None given,P6,,2015,Business model innovation,0,0,0,0,0,0,0,1,0,0,0,1
Pattern044,Sustainable resource company,makes large efforts to analyze and develop its supply chains with regard to conflict-free mining in high-risk areas. The,P7,,2019,Sustainable business models,0,0,0,0,0,0,1,0,0,0,0,1
Pattern045,Sustainable manufacturer,"Sustainable manufacturers engage and develop their suppliers to reduce worker and human rights violations as well as ecological damages in the supply chain in two ways. First, they adopt responsible sourcing practices for critical materials (e.g. gold) in collaboration, for instance with sustainable resource companies. Second, they
exert more control over the production of their device, through either demanding higher standards from contract manufacturers or re-internalizing production.",P7,,2019,Sustainable business models,1,0,0,0,0,0,0,0,0,0,0,1
Pattern046,Sufficiency-advocating network provider,? Offers ? with integrated monthly donations for socio-ecological projects chosen by the customer. the SBM only covers the contract side in the distribution phase while actively promoting alternatives to the consumption of a new smartphone.,P7,,2019,Sustainable business models,1,0,0,0,0,0,0,0,0,0,0,1
Pattern053,Manufacturer of connected physical products,Produce and sell physical products that are connected to the internet and thus can be complemented by additional services,P8,,2016,Business Model Innovation,0,0,0,0,0,0,0,0,1,0,0,1
Pattern058,Data analytics provider,Analyze large amounts of data to make predictions by applying big data and other technologies,P8,,2016,Business Model Innovation,0,0,0,0,0,0,0,1,0,0,0,1
Pattern060,IT-enabled self- service provider,"Replace traditionally necessary service staff and processes with IT, thus allowing customers to service themselves",P8,,2016,Business Model Innovation,0,0,0,0,0,0,0,1,0,0,0,1
Pattern061,IT-guided service provider,"Guide semi-professional/unskilled service staff with IT, thereby replacing more professional staff",P8,,2016,Business Model Innovation,0,0,0,0,0,0,0,1,0,0,0,1
Pattern062,Mobilized service provider,Enable traditionally stationary services to be provided on the go through localization technologies,P8,,2016,Business Model Innovation,0,0,0,0,0,0,0,1,0,0,0,1
Pattern063,Publisher model,"Publish journals online, e.g., articles, videos, reviews",P8,,2016,Business Model Innovation,0,0,1,0,0,0,0,0,0,0,0,1
Pattern065,Seller of sensor information,Sell information gathered from multiple sensors,P8,,2016,Business Model Innovation,0,0,0,0,0,0,0,1,0,0,0,1
Pattern072,P2P goods sharing platform,"Create platform to rent physical goods from peers, thus replacing professional lenders",P8,,2016,Business Model Innovation,0,0,0,0,0,0,0,0,1,0,0,1
Pattern073,P2P information sharing community,Provide a platform to share dynamic information among members for mutual benefits,P8,,2016,Business Model Innovation,0,0,0,0,0,0,0,0,1,0,0,1
Pattern074,P2P marketplace for physical goods,Create marketplace to trade physical goods between customers; the focus is on matching needs and providing additional services to ensure safe transactions,P8,,2016,Business Model Innovation,0,0,0,0,0,0,0,0,1,0,0,1
Pattern075,P2P service provision platform,Create platform intermediating a service in which customers replace professional service personnel,P8,,2016,Business Model Innovation,0,0,0,0,0,0,0,0,1,0,0,1
Pattern145,SERVICE COMBINATION,How to combine services of different organizations through the same channel? Use a separate process to offer a combined service,P13,,2009,EA,0,0,0,0,0,1,0,0,0,0,0,1
Pattern149,REDIRECTION,How to helpa client find the right channel and/or provider no matter where he asks his question? Redirect him directly to the applicable channel/provider,P13,,2009,EA,0,0,1,0,0,0,0,0,0,0,0,1
Pattern153,WEB PORTAL,How to offerservices from different providers in asingleweb- site? Usea web portal,P13,,2009,EA,0,0,1,0,0,0,0,0,0,0,0,1
Pattern155,WIZARD,"How to assist aclient online with using services? Provide an automated assistant that helps with finding theright service, fill- ing in forms, et cetera",P13,,2009,EA,0,0,0,0,0,0,0,1,0,0,0,1
Pattern156,KNOWLEDGE BASE,How to storing andmaintain business logic andother knowledge behind different products and services and facilitateits reuse?Use acentralknowledge base,P13,,2009,EA,1,0,0,0,0,0,0,0,0,0,0,1
Pattern158,MID-OFFICE,How to link application and process silos in a fragmented back- office to integrated services provided through multiple channels in a unified front office? Usea mid-office layer for process and data integration,P13,,2009,EA,0,0,0,0,0,0,0,1,0,0,0,1
Pattern159,BUSINESS PROCESS MANAGEMENT,"How to control the execution of (partially)automated business processes, separate from the application logic? Use a business process management solution, encoding processes in executable form",P13,,2009,EA,0,0,0,0,0,0,0,1,0,0,0,1
Pattern160,CONTENTMANAGEMENT,How to ensure consistent content across channels and services? Use content management to maintain content in a central place,P13,,2009,EA,0,0,0,0,0,0,0,1,0,0,0,1
Pattern161,DOCUMENTMANAGEMENT,"How to provide employees with access to all correspondence with clients? Use central, digitized storage and access of all incoming and outgoing documents",P13,,2009,EA,0,0,0,0,0,0,0,1,0,0,0,1
Pattern162,CASEMANAGEMENT,"How to provide employees access to all information on ongoing client cases? Use a centralized case management solution, acces- sible by all employees handling this case",P13,,2009,EA,0,0,0,0,0,0,0,1,0,0,0,1
Pattern163,VIRTUAL DOSSIER,How to bring client data togetherfrom different sources? Use indices and synchronization(insteadofcentralized storage) creat- ing avirtualdossier,P13,,2009,EA,0,0,0,0,0,0,0,1,0,0,0,1
Pattern166,BUSINESS INTELLIGENCE,How to obtain management data regarding channel and service usage? Measure and analyse current and past client data to pro- vide information to support management decisions,P13,,2009,EA,0,1,0,0,0,0,0,0,0,0,0,1
Pattern167,PUBLISH-SUBSCRIBE,How to distribute changes in data automatically to keep client and service data in sync across channels? Let systems register their interest and publish relevant changes to them,P13,,2009,EA,0,0,0,0,0,0,0,1,0,0,0,1
Pattern169,VendingMachine,"Business pattern that describes how an electronic vending channel (e.g., a webshop) can be realized. The pattern shows the customer side as well as the orga- nization side that wants to sell goods. The main elements (catalog, order, customer, database) are shown in relation to the backend (owner) and frontend (customer) views",P14,,2014,EA,0,0,0,0,0,0,0,1,0,0,0,1
Pattern173,ResourcesAreScarce,Support pattern that provides a solution for an electronic-enabled human resource management (®e-HRM¯),P14,,2014,EA,0,0,0,0,0,0,0,1,0,0,0,1
Pattern175,ForYourEyesOnly,Support pattern that supports the manual and automatic exchange of files between internal and external persons or systems in an asynchronous way. The pattern provides the necessary mechanisms to protect the files during transport and storage.,P14,,2014,EA,0,0,0,0,0,0,0,1,0,0,0,1
Pattern179,YouHaveMail,Infrastructure pattern that deals with all aspects of sending and receiving electronic mails.,P14,,2014,EA,0,0,1,0,0,0,0,0,0,0,0,1
