ID,source,name,description,Related to BMC,BMC relation comes from article?
C10,S1,A long-term relationship,Characteristic mapped to the customer relationships in BMC,Customer relationships,Yes
C110,S4,Collective audience,Stake holder participation,Customer relationships,No
C111,S4,Selective audience,Stake holder participation,Customer relationships,No
C112,S4,Stake holder empowerment,Stake holder participation,Customer relationships,No
C166,S7,Co-creation of value is fundamental - value creation is described considering a system or network-centric perspective rather than company centric,Sustainable qualifying criteria: value creation,Customer relationships,No
C185,S7,Value delivery considers all involved stakeholders - including nature and society - not focusing solely on customers;,main ideas following qualifying criteria,Customer relationships,No
C186,S7,Value capture accounts for environmental and social sources beyond the traditional economic one and takes all stakeholders into perspective;,main ideas following qualifying criteria,Cost structure,No
C31,S2,producing on order,Characteristic mapped to the customer relationships in BMC,Customer relationships,Yes
C32,S2,engaging customers to vote for which product to make,Characteristic mapped to the customer relationships in BMC,Customer relationships,Yes
C4,S1,Personal assistance,Characteristic mapped to the customer relationships in BMC,Customer relationships,Yes
C5,S1,Dedicated-personal assistance,Characteristic mapped to the customer relationships in BMC,Customer relationships,Yes
C6,S1,Self-service,Characteristic mapped to the customer relationships in BMC,Customer relationships,Yes
C7,S1,Automated services,Characteristic mapped to the customer relationships in BMC,Customer relationships,Yes
C77,S4,Specification of product life to the customer,Product life cycle,Customer relationships,No
C78,S4,Company encourages to the customer for switching over to new product,Product life cycle,Customer relationships,No
C8,S1,Communities,Characteristic mapped to the customer relationships in BMC,Customer relationships,Yes
C82,S4,Minimum time required to restore the defective product to its original performance,Product Service,Customer relationships,No
C9,S1,Co-creation,Characteristic mapped to the customer relationships in BMC,Customer relationships,Yes
C138,S5,local community links,Characteristic part of the social dimension,Customer relationships,No
C173,S7,Customer interface motivates customers to take responsibility for their consumption (change in mindset),Sustainable qualifying criteria: value delivery,Customer relationships,No
C1,S1,High regulated markets from environmental perspective,Characteristic mapped to the customer segment in BMC,Customer Segment,Yes
C2,S1,Customer segments that expect environmental awareness,Characteristic mapped to the customer segment in BMC,Customer Segment,Yes
C70,S3,Corporate sustainability projects engaging stakeholders within and outside the firm,Characteristic mapped to Sustainability-Oriented Culture-sustainability focused leadership-sustainable development,Key activities,No
C117,S4,Exploitation of IT utilities in managing the supply chain,Outsourcing,Key activities,No
C12,S1,Reduce environmental waste,Characteristic mapped to the key activities in BMC,Key activities,Yes
C172,S7,Interests and needs of all stakeholders from the network constellation are considered for business delivery,Sustainable qualifying criteria: value delivery,Key activities,No
C124,S4,Application of business process reengineering (BPR) for reinventing and reengineering the organization,Change in business and technical processes,Key activities,No
C128,S5,water stewardship,Characteristic part of the environmental dimension,Key activities,No
C129,S5,waste management,Characteristic part of the environmental dimension,Key activities,No
C13,S1,"Incorporate environmental issues in
product development and production",Characteristic mapped to the key activities in BMC,Key activities,Yes
C131,S5,conserving natural resources,Characteristic part of the environmental dimension,Key activities,No
C147,S6,Competitive manufacturing strategies (e.g. lean),Characteristic part of the economic dimension,Key activities,No
C148,S6,Performance evaluation,Characteristic part of the economic dimension,Key activities,No
C151,S6,Work management issues (e.g. work conditions),Characteristic part of the social dimension,Key activities,No
C152,S6,Human issues (e.g. child labor),Characteristic part of the social dimension,Key activities,No
C201,S9,segregate waste,Environmental performance management: waste,Key activities,No
C202,S9,recycle waste,Environmental performance management: waste,Key activities,No
C203,S9,recover food waste for compost,Environmental performance management: waste,Key activities,No
C204,S9,harvest rain water ,Environmental performance management: water,Key activities,No
C39,S2,increasing performance through good housekeeping,Characteristic mapped to the key activities in BMC,Key activities,Yes
C40,S2,better process control,Characteristic mapped to the key activities in BMC,Key activities,Yes
C41,S2,equipment modification and technology changes,Characteristic mapped to the key activities in BMC,Key activities,Yes
C42,S2,sharing and virtualization,Characteristic mapped to the key activities in BMC,Key activities,Yes
C43,S2,"improving the design of the product, to make it ready for material loops and becoming more eco-friendly",Characteristic mapped to the key activities in BMC,Key activities,Yes
C44,S2,Lobbying,Characteristic mapped to the key activities in BMC,Key activities,Yes
C51,S3,"Reducing solid waste, waste water and emissions",Characteristic mapped to Environmental stewardship-holistic environmental management-Pollution prevention,Key activities,No
C56,S3,develop an eco-efficient company vision,Characteristic mapped to Environmental stewardship-holistic environmental management-sustainable development,Key activities,No
C57,S3,minimum intervention model to reduce hazardous chemical emissions,Characteristic mapped to Environmental stewardship-ecopreneurship-Pollution prevention,Key activities,No
C60,S3,develop a minimum intervention model to reduce toxic chemicals for humans and environment,Characteristic mapped to Environmental stewardship-regenerative practices-product stewardship,Key activities,No
C65,S3,implementing lean manufacturing tools ,Characteristic mapped to process excelence-process efficiency and optimization-Pollution prevention,Key activities,No
C83,S4,Cross-functional teams involvement in design and development,Design improvement,Key activities,No
C89,S4,Scheduled activities,Time management,Key activities,No
C91,S4,Adoption of time compression technologies,Time management,Key activities,No
C85,S4,"Usage of design for manufacturing agency (DFMA) concepts, axioms and guidelines",Design improvement,Key activities,No
C150,S6,"Societal commitment (e.g. jobs creation, societal investment)",Characteristic part of the social dimension,Key activities,No
C184,S7,Value creation is treated in a network scale and not only company centric;,main ideas following qualifying criteria,Key partners,No
C114,S4,Better coordination along supply chain,Late order penetration point,Key partners,No
C116,S4,Adoption of SCM concepts for enhancing the outsourcing efficiency,Outsourcing,Key partners,No
C118,S4,Involvement of suppliers in product development,Outsourcing,Key partners,No
C119,S4,Strategic network in SCM to exercise zero inventory system,Manufacturing planning,Key partners,No
C130,S5,logistics,Characteristic part of the environmental dimension,Key partners,No
C133,S5,responsible sourcing,Characteristic part of the social dimension,Key partners,No
C134,S5,working conditions of suppliers,Characteristic part of the social dimension,Key partners,No
C142,S5,supplier relations,Characteristic part of the economic dimension,Key partners,No
C16,S1,"Collaboration with material suppliers, logistic providers and other stakeholders to reduce environmental impacts.",Characteristic mapped to key partners in BMC,Key partners,Yes
C169,S7,Suppliers engage in sustainable supply chain management (materials cycle),Sustainable qualifying criteria: value creation,Key partners,No
C170,S7,Network enables environmental resources view and tracking in order to assess their availability,Sustainable qualifying criteria: value creation,Key partners,No
C171,S7,"Network aims for using renewable resources and energy, minimizing or eliminating non-recyclable waste and pollution with technological innovations to close the loop, reducing consumption, and repairing environmental damage",Sustainable qualifying criteria: value creation,Key partners,No
C45,S2,"choosing and cooperating with partners, along the value chain and supply chain, which support the circular economy",Characteristic mapped to key partners in BMC,Key partners,Yes
C54,S3,ethical sourcing of materials,Characteristic mapped to Environmental stewardship-holistic environmental management-product stewardship,Key partners,No
C58,S3,partnering with other plastic bottle companies to manufacture recycled polyester products,Characteristic mapped to Environmental stewardship-ecopreneurship-Product stewardship,Key partners,No
C66,S3,selecting suppliers with standards in process efficiency,Characteristic mapped to process excelence-process efficiency and optimization-product stewardship,Key partners,No
C72,S3,"partnering with suppliers to reduce waste, emissions and ethical use of materials",Characteristic mapped to Sustainability-Oriented Culture-internal advocates and change agents-product stewardship,Key partners,No
C81,S4,Service centers well equipped with spares,Product Service,Key resources,No
C104,S4,Company having automated systems,Automation type,Key resources,No
C105,S4,Flexible automation,Automation type,Key resources,No
C120,S4,IT utilities incorporated with reengineered pattern of  working,Information technology integration,Key resources,No
C121,S4,IT application to eliminate paper work,Information technology integration,Key resources,No
C122,S4,Adoption of multimedia technology,Information technology integration,Key resources,No
C14,S1,Intellectual resources: green knowledge ,Characteristic mapped to the key resources in BMC,adoption factors,no
C15,S1,"Physical resources: clean
production and eco-efficient technologies.",Characteristic mapped to the key resources in BMC,Key resources,Yes
C199,S8,"Informations systems help organizations implement sustainability through automating, informating (up and down) and transforming organizations, respectively",,Key resources,No
C200,S9,utilise bio-based material as input,Environmental performance management: waste,Key resources,No
C205,S9,use water efficient appliances,Environmental performance management: water,Key resources,No
C206,S9,"use natural light, sensors and energy efficient appliances",Environmental performance management: energy,Key resources,No
C207,S9,use thermal insulation,Environmental performance management: energy,Key resources,No
C208,S9,use emission filtering systems,Environmental performance management: emissions,Key resources,No
C209,S9,use energy efficient appliances,Environmental performance management: emissions,Key resources,No
C36,S2,choosing suppliers offering better-performing materials,Characteristic mapped to the key resources in BMC,Key partners,No
C37,S2,virtualization of materials,Characteristic mapped to the key resources in BMC,Key resources,Yes
C38,S2,"resources allowing to regenerate and restore natural capital, and/or the resources obtained from customers or third parties meant to circulate in material loops  preferably closed)",Characteristic mapped to the key resources in BMC,Key resources,Yes
C55,S3,capitalise on solar power,Characteristic mapped to Environmental stewardship-holistic environmental management-sustainable development,Key resources,No
C90,S4,IT-based communication system,Time management,Key resources,No
C141,S5,shareholder value,Characteristic part of the economic dimension,Revenue Stream,No
C17,S1,Optimize the supply chain; ,Characteristic mapped to Revenue Stream in BMC,Revenue Stream,Yes
C18,S1,Reduce the lead time to market; ,Characteristic mapped to Revenue Stream in BMC,Revenue Stream,Yes
C19,S1,Sourcing alternative materials at a better price or value; ,Characteristic mapped to Revenue Stream in BMC,Revenue Stream,Yes
C20,S1,Internal movement toward zero waste.,Characteristic mapped to Revenue Stream in BMC,Revenue Stream,Yes
C33,S2,payments for a circular product or service,Characteristic mapped to Revenue Stream in BMC,Revenue Stream,Yes
C34,S2,"payments for delivered availability, usage, or performance related to the product-based service offered",Characteristic mapped to Revenue Stream in BMC,Revenue Stream,Yes
C35,S2,Revenues may also pertain to the value of resources retrieved from material loops,Characteristic mapped to Revenue Stream in BMC,Revenue Stream,Yes
C67,S3,engage with stakeholders to get funding for sustainable infrastructure and new technology,Characteristic mapped to process excelence-process efficiency and optimization-sustainable development,Revenue Stream,No
C143,S5,delivering customer value,Characteristic part of the economic dimension,Revenue Stream,No
C103,S4,Upgradability and retirement of machines,Eco-efficient machines,Key activities,No
C47,S2,"take-back system management, or reverse logistic management",Characteristic product of new construct for the BMC: take-back system,Customer channels,Yes
C48,S2,take-back system channels,Characteristic product of new construct for the BMC: take-back system,Customer channels,Yes
C49,S2,take-back systems' relation with customers,Characteristic product of new construct for the BMC: take-back system,Customer relationships,Yes
C101,S4,Reusability,Eco-efficient machines,Value proposition,No
C102,S4,Recyclability,Eco-efficient machines,Value proposition,No
C11,S1,Providing environmental friendly product and services,Characteristic mapped to the value proposition in BMC,Value proposition,Yes
C115,S4,"Modularity for post-use, reusable and recyclable modules",Late order penetration point,Value proposition,No
C132,S5,environmentally friendly products,Characteristic part of the environmental dimension,Value proposition,No
C145,S6,Innovative products design,Characteristic part of the economic dimension,Value proposition,No
C159,S7,"Value propositions are systematically assessed, being not only positive, but also negative or transforming over time. They address needs and how they are satisfied (value created and delivered), left unsatisfied (value destroyed and missed) or potentially satisfied in the future (value opportunities to be captured)",Sustainable qualifying criteria: value proposition,Value proposition,Yes
C160,S7,"Value propositions and opportunities take a life-cycle thinking approach into account, addressing the beginning-of-life, middle-of- life and end-of-life of offerings (products, services or product-service systems)",Sustainable qualifying criteria: value proposition,Value proposition,Yes
C161,S7,"Value propositions balance economic, environment and social needs",Sustainable qualifying criteria: value proposition,Value proposition,Yes
C162,S7,Value propositions internalize externalities (environmental and social,Sustainable qualifying criteria: value proposition,Value proposition,Yes
C163,S7,Value propositions add extra value in comparison to market competition,Sustainable qualifying criteria: value proposition,Value proposition,Yes
C164,S7,"Value propositions aim for radical innovations [27,37]",Sustainable qualifying criteria: value proposition,Value proposition,Yes
C165,S7,Value proposition combines and integrates knowledge from multiple disciplines,Sustainable qualifying criteria: value proposition,Value proposition,Yes
C183,S7,"Sustainability requires new sources, types and approaches to address value proposition",main ideas following qualifying criteria,Value proposition,Yes
C210,S9,use natural materials as replacement for chemical inputs,Environmental performance management: chemical,Value proposition,No
C23,S2,circular products enabling product-life extension,Characteristic mapped to the value proposition in BMC,Value proposition,Yes
C24,S2,product-service system,Characteristic mapped to the value proposition in BMC,Value proposition,Yes
C25,S2,virtualized services,Characteristic mapped to the value proposition in BMC,Value proposition,Yes
C26,S2,collaborative consumption,Characteristic mapped to the value proposition in BMC,Value proposition,Yes
C27,S2,incentives and benefits offered to the customers for bringing back used products,Characteristic mapped to the value proposition in BMC,Customer relationships,no
C53,S3,reduce waste in product life cycle,Characteristic mapped to Environmental stewardship-holistic environmental management-product stewardship,Value proposition,No
C59,S3,converting urban waste into a value adding product,Characteristic mapped to Environmental stewardship-regenerative practices-Pollution prevention,Value proposition,No
C79,S4,Products superior field performance for a stipulated period with least maintenance cost,Product life cycle,Value proposition,No
C80,S4,Products designed for easy serviceability,Product Service,Value proposition,No
C92,S4,Environment friendly products,Use of renewable and non-toxic materials,Value proposition,No
C93,S4,Easy to recycle,Use of renewable and non-toxic materials,Value proposition,No
C94,S4,Easy for reuse,Use of renewable and non-toxic materials,Value proposition,No
