Id,Pattern presented,Description,Source 1,Source 2,Publication Year,Field of origin,Source 1,Source 2,,,,,
Pattern011,Load balanced cluster,Load-balanced clusters can improve application performance for the current number of users by sharing the workload across multiple servers.,P3,,2010,IT service management,"Da Silva, L. F., & E Abreu, F. B. (2010). An IT Infrastructure patterns approach to improve IT service management quality. Proceedings - 7th International Conference on the Quality of Information and Communications Technology, QUATIC 2010, 171–176. https://doi.org/10.1109/QUATIC.2010.34",#N/D,,,,,
Pattern012,Failover Cluster,Failover clusters can increase availability by creating redundancy in the infrastructure,P3,,2010,IT service management,"Da Silva, L. F., & E Abreu, F. B. (2010). An IT Infrastructure patterns approach to improve IT service management quality. Proceedings - 7th International Conference on the Quality of Information and Communications Technology, QUATIC 2010, 171–176. https://doi.org/10.1109/QUATIC.2010.34",#N/D,,,,,
Pattern013,Problem Analysis Pattern,The difficult matters that stakeholders struggle to resolve,P4,,2019,EA,"Yamamoto, S., & Zhi, Q. (2019). ArchiMate Business Model Patterns to e-Healthcare. In Y.-W. Chen, A. Zimmermann, R. J. Howlett, & L. C. Jain (Eds.), Smart Innovation, Systems and Technologies (Vol. 145, pp. 11–20). https://doi.org/10.1007/978-981-13-8566-7_2",#N/D,,,,,
Pattern014,Model-Based Jobs Theory Pattern,The difficult matters that stakeholders struggle to resolve,P4,,2019,EA,"Yamamoto, S., & Zhi, Q. (2019). ArchiMate Business Model Patterns to e-Healthcare. In Y.-W. Chen, A. Zimmermann, R. J. Howlett, & L. C. Jain (Eds.), Smart Innovation, Systems and Technologies (Vol. 145, pp. 11–20). https://doi.org/10.1007/978-981-13-8566-7_2",#N/D,,,,,
Pattern015,ASOMG Pattern,The difficultmatters that enterprise architects struggle to develop enterprise architecture based on the business case,P4,,2019,EA,"Yamamoto, S., & Zhi, Q. (2019). ArchiMate Business Model Patterns to e-Healthcare. In Y.-W. Chen, A. Zimmermann, R. J. Howlett, & L. C. Jain (Eds.), Smart Innovation, Systems and Technologies (Vol. 145, pp. 11–20). https://doi.org/10.1007/978-981-13-8566-7_2",#N/D,,,,,
Pattern016,ARM Pattern,The interrelationship among intentions of actors that are exhaustively dif- ficult to clarify,P4,,2019,EA,"Yamamoto, S., & Zhi, Q. (2019). ArchiMate Business Model Patterns to e-Healthcare. In Y.-W. Chen, A. Zimmermann, R. J. Howlett, & L. C. Jain (Eds.), Smart Innovation, Systems and Technologies (Vol. 145, pp. 11–20). https://doi.org/10.1007/978-981-13-8566-7_2",#N/D,,,,,
Pattern017,Condition Monitoring systems for manufacturers and Operators of machines and plants,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern018,Condition monitoring for own machines and plants,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern019,Continuous Remote Monitoring as a Service,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern020,Specialised Remote Monitoring without Maintenance and Guarantee,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern021,Maintenance as Additional Service,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern022,Guarantee of Availabilities and Response Times,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern023,System Provisioning for Self- Monitoring,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern024,Periodic Offl ine Monitoring and Maintenance as a Service,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern025,Consulting and Training,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern026,Flexible original equipping and retrofitting,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern027,Personalised Direct Selling of Condition Monitoring Systems,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern028,Graded Service Packages with Function Dependend Pricing,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern029,Long term Customer Loyality through Support around the Clock,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern030,Package Pricing for Products and Services,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern031,Selling of Condition Monitoring as an innovative Maintenance Service,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern032,Communication on the Internet and Trade Fairs,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern033,Communication through New Media,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern034,Development and Manufacturing of Measurement Systems,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern035,Development and Manufacturing of Sensors,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern036,Development Partnerships or Third-party Development of Software,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern037,Purchasing of Sensors and Measurement Systems,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern038,Independent Development of Software,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern039,Repairing as Additional Core Competence,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern040,Specialists with Know-how about Analysis,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern041,Service Team for Condition Mo-nitoring Systems,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern042,IT Infrastructure for Remote Monitoring,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern043,Customer Acquiring by Telephone Marketing,None given,P6,,2015,Business model innovation,"Amshoff, B., Dülme, C., Echterfeld, J., & Gausemeier, J. (2015). Business model patterns for disruptive technologies. International Journal of Innovation Management, 19(3), 1540002. https://doi.org/10.1142/S1363919615400022",#N/D,,,,,
Pattern194,“Differential Pricing”,Charging groups with higher payment thresholds higher prices to subsidize those groups who cannot afford to pay as much.,P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern195,“Freemium”,"Provide a basic service or product free of charge to lower entry barriers for customers, while a fee is charged for additional features and functionality. This allows gaining traction through partly free offerings.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern196,“Innovative Product Financing”,"Offering product leasing or renting for a certain period of time instead of selling it outright. As an option, this can lead to ownership (“progressive purchase”). This allows extending breadth and depth of customer groups for new products.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern197,“Subscription Model”,"Charging a customer a rolling fee, typically on a monthly or annual basis for access to a product or service. The customer pays a fee, irrespective of product or service use. This allows creating consistent income streams.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern198,“Crowdfunding”,"Mobilizing a network, usually online, to tap the financial resources of a mixed group of people and to circumvent traditional financiers such as banks. Forms of crowdfunding are e.g. donation-based, loan-based and equity-based.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern199,“Microfinance”,Providing small loans and financial services to people without access to conventional banks. Microfinance is often provided through group-lending systems where group members act as guarantors for each other. ,P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern200,“Social Business Model: No dividends” ,Investors are entitled to get their money back. But profits are not distributed to them as these are reinvested to improve the product or service quality or to fund new social businesses. Social target groups benefit from improved product and service quality and/or lower prices.,P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern051,Autonomous products/robots manufacturer,Produce and sell products that use digital technologies to independently perform services formerly conducted by humans,P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern052,Manufacturer direct sales,"Produce and sell physical goods directly to the customer online, often allowing customization",P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern053,Manufacturer of connected physical products,Produce and sell physical products that are connected to the internet and thus can be complemented by additional services,P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern054,Manufacturer of connectivity devices for physical products,"Produce and sell a device that can be attached to a physical good, thereby connecting the good to the internet and serving as a platform for new services",P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern055,Manufacturer of IT devices,Produce and sell IT devices such as displays and computers,P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern056,Online reseller,Buy and resell physical products purely through the internet,P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern057,App developer,Develop and sell mobile applications via app stores for smartphones,P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern058,Data analytics provider,Analyze large amounts of data to make predictions by applying big data and other technologies,P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern059,Digital service provider,"Provide services completely through use of digital technologies, replacing a traditionally non-digital service",P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern060,IT-enabled self- service provider,"Replace traditionally necessary service staff and processes with IT, thus allowing customers to service themselves",P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern061,IT-guided service provider,"Guide semi-professional/unskilled service staff with IT, thereby replacing more professional staff",P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern062,Mobilized service provider,Enable traditionally stationary services to be provided on the go through localization technologies,P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern063,Publisher model,"Publish journals online, e.g., articles, videos, reviews",P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern064,Sell services online,"Use the internet to sell services online, often allowing customers to request new services on-demand",P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern065,Seller of sensor information,Sell information gathered from multiple sensors,P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern066,Sensor-enabled service innovator,"Use sensor information to provide new or better services, such as a more accurate pricing",P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern067,Software provider,Develop and sell software to businesses or consumers,P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern068,Third-party information aggregator,Collect large amounts of third-party information and provide customers with the information necessary for a specific situation,P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern069,B2C marketplace for physical goods,"Create marketplace to trade physical goods between customers and retailers, focusing on the aggregation of offers from different retailers",P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern070,Location-based advertising platform,Provide a platform for companies to deliver advertising messages to customers based on their current location,P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern071,Integrator of third-party services,Create platform allowing professional services to be booked from several third parties; the focus lies on integrating the services,P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern072,P2P goods sharing platform,"Create platform to rent physical goods from peers, thus replacing professional lenders",P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern073,P2P information sharing community,Provide a platform to share dynamic information among members for mutual benefits,P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern074,P2P marketplace for physical goods,Create marketplace to trade physical goods between customers; the focus is on matching needs and providing additional services to ensure safe transactions,P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern075,P2P service provision platform,Create platform intermediating a service in which customers replace professional service personnel,P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern076,Service comparison portal,"Provide online portal for comparing price, user rating, and other properties of third-party services; the focus lies on comparing the services",P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern077,Social network,Provide an online platform for communication among people with common interests,P8,,2016,Business Model Innovation,"Remane, G., Hildebrandt, B., Hanelt, A., & Kolbe, L. M. (2016). Discovering new digital business model types - A study of technology startups from the mobility sector. Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings.",#N/D,,,,,
Pattern078,Consolidating Architectures after Mergers,M-pattern describes abusiness domain- drivenapproach to develop afuture state of the EA after amerger between previously independent enterprises or parts thereof.,P9,,2009,EAM,"Buckl, S., Ernst, A., Kopper, H., Marliani, R., Matthes, F., Petschownik, P., & Schweda, C. (2009). EA Management Patterns for Consolidations after Mergers. SE 2009 – Workshopband, Workshop on Patterns in Enterprise Architecture Management (PEAM 2009), 19, 67–78. https://doi.org/10.1016/j.cell.2008.01.015",#N/D,,,,,
Pattern079,Business Domain-based Capability Roadmap,V-Pattern provides away to visualize information about business domains of one or more enterprises in relation to the available and required business capabilities.,P9,,2009,EAM,"Buckl, S., Ernst, A., Kopper, H., Marliani, R., Matthes, F., Petschownik, P., & Schweda, C. (2009). EA Management Patterns for Consolidations after Mergers. SE 2009 – Workshopband, Workshop on Patterns in Enterprise Architecture Management (PEAM 2009), 19, 67–78. https://doi.org/10.1016/j.cell.2008.01.015",#N/D,,,,,
